Name,Autor,Canonical URL,Categoría,Destacado,Extracto,Fecha publicación Thinko,Fecha publicación original,Fuente,ID,Imagen destacada,SEO Description,SEO Title,Sincronizado,Slug,Status,Tags,Tiempo de lectura (min),URL fuente
El caos y la incertidumbre empañan las elecciones peruanas,Alejandro G. Motta,https://www.larazon.es/internacional/caos-incertidumbre-empanan-elecciones-peruanas_2026041869e2bb7db7e0a27eb99c11c1.html,Política,Yes,"Las actas siguen contabilizándose desde el pasado domingo, día en que se celebró la primera vuelta de los comicios presidenciales",18 de abril de 2026,18 de abril de 2026,La Razón,ART-3,https://d2udx5iz3h7s4h.cloudfront.net/2026/4/12/Reuters/image/2026_04_12T135702Z_1442341413_RC2PNKATBJJA_RTRMADP_3_PERU_ELECTION.JPG?width=1440&format=webp&quality=80,"Las actas siguen contabilizándose desde el pasado domingo, día en que se celebró la primera vuelta de los comicios presidenciales",El caos y la incertidumbre empañan las elecciones peruanas,Yes,,,,,https://www.larazon.es/internacional/caos-incertidumbre-empanan-elecciones-peruanas_2026041869e2bb7db7e0a27eb99c11c1.html
Donald Trump inicia la campaña electoral 2026,Alejandro G. Motta,https://www.larazon.es/internacional/donald-trump-inicia-campana-electoral-2026_20260226699fa21d2f00a046882873b9.html,Internacional,No,El presidente de EE UU se mostró confrontativo y provocador a la hora de resaltar las conquistas sociales y económicas de su gobierno durante el discurso del Estado de la Unión,26 de febrero de 2026,26 de febrero de 2026,La Razón,ART-5,"https://fotografias-2.larazon.es/clipping/cmsimages02/2026/02/25/081FC083-1C42-4B42-97E9-62F3F5210DEA/98.jpg?crop=7342,4131,x0,y382&width=1900&height=1069&optimize=low&format=webply",El presidente de EE UU se mostró confrontativo y provocador a la hora de resaltar las conquistas sociales y económicas de su gobierno durante el discurso del Estado de la Unión,Donald Trump inicia la campaña electoral 2026,Yes,,,,,https://www.larazon.es/internacional/donald-trump-inicia-campana-electoral-2026_20260226699fa21d2f00a046882873b9.html
La violencia marca la campaña en Colombia,Alejandro G. Motta,https://www.larazon.es/internacional/violencia-marca-campana-colombia_2026050969fe790db5b06629960,Política,No,"Cuando parecía que la bestia del narcotráfico estaba domada, una desgracia enluta a los colombianos y marca un nuevo capítulo en la campaña electoral coincidiendo con la política laxa en contra del crimen organizado",9 de mayo de 2026,9 de mayo de 2026,La Razón,ART-6,"https://fotografias-2.larazon.es/clipping/cmsimages01/2026/05/01/88C47046-BCBC-4D9C-990C-92730C3A1CF0/97.jpg?crop=5472,3078,x0,y285&width=1600&height=900&optimize=low&format=webply","Cuando parecía que la bestia del narcotráfico estaba domada, una desgracia enluta a los colombianos y marca un nuevo capítulo en la campaña electoral coincidiendo con la política laxa en contra del crimen organizado",La violencia marca la campaña en Colombia,Yes,,,,,https://www.larazon.es/internacional/violencia-marca-campana-colombia_2026050969fe790db5b066299609750f.html
Venezuela se encamina a unas elecciones,Alejandro G. Motta,https://www.larazon.es/internacional/venezuela-encamina-elecciones_2026042469eab28d16cd5c2d466a20aa.html,Política,No,El Gobierno estadounidense confirma que habrá elecciones en 2027 mientras la sintonía con María Corina Machado se hace evidente,24 de abril de 2026,24 de abril de 2026,La Razón,ART-7,"https://fotografias-2.larazon.es/clipping/cmsimages01/2026/04/22/AB824C86-8F78-4889-9D9F-C8EAE874E1A8/97.jpg?crop=2419,1361,x0,y126&width=1600&height=900&optimize=low&format=webply",El Gobierno estadounidense confirma que habrá elecciones en 2027 mientras la sintonía con María Corina Machado se hace evidente,Venezuela se encamina a unas elecciones,Yes,,,,,https://www.larazon.es/internacional/venezuela-encamina-elecciones_2026042469eab28d16cd5c2d466a20aa.html
Corina Machado regresa a Venezuela para lograr elecciones,Alejandro G. Motta,https://www.larazon.es/internacional/corina-machado-regresa-venezuela-lograr-elecciones_2026030769ab6a8dd489bf782e0f1063.html,Política,No,"Hay una ventana importante para que Venezuela recupere la democracia en 2027. Las condiciones hoy son buenas, no perfectas, pero sí positivas",7 de marzo de 2026,7 de marzo de 2026,La Razón,ART-8,"https://fotografias-2.larazon.es/clipping/cmsimages01/2026/02/09/F9EB6A6E-DD2B-4E49-8E51-781CD69AF32C/97.jpg?crop=5392,3033,x0,y280&width=1600&height=900&optimize=low&format=webply","Hay una ventana importante para que Venezuela recupere la democracia en 2027. Las condiciones hoy son buenas, no perfectas, pero sí positivas",Corina Machado regresa a Venezuela para lograr elecciones,Yes,,,,,https://www.larazon.es/internacional/corina-machado-regresa-venezuela-lograr-elecciones_2026030769ab6a8dd489bf782e0f1063.html
Perú acude a las urnas con Keiko Fujimori como favorita en los sondeos,Alejandro G. Motta,https://www.larazon.es/internacional/peru-acude-urnas-keiko-fujimori-como-favorita-sondeos_2026041269daea02b7e0a27eb9946d5d.html,Internacional,No,Los peruanos votan este domingo divididos entre el anhelo de seguridad y la desconfianza hacia una clase política en crisis,12 de abril de 2026,12 de abril de 2026,La Razón,ART-9,"https://fotografias-2.larazon.es/clipping/cmsimages01/2026/01/14/1D6EDAB6-D7BA-42BD-B0FE-35FCC9CC9295/97.jpg?crop=4608,2592,x0,y239&width=1600&height=900&optimize=low&format=webply",Los peruanos votan este domingo divididos entre el anhelo de seguridad y la desconfianza hacia una clase política en crisis,Perú acude a las urnas con Keiko Fujimori como favorita en los sondeos,Yes,,,,,https://www.larazon.es/internacional/peru-acude-urnas-keiko-fujimori-como-favorita-sondeos_2026041269daea02b7e0a27eb9946d5d.html
A las puertas de una nueva era en Cuba,Alejandro G. Motta,https://www.larazon.es/internacional/puertas-nueva-era-cuba_2026032569c36bf173941a3222cbbe93.html,Internacional,No,"En unos meses, los cubanos podrían estar sufragando para elegir a un gobierno democrático, un evento que no han conocido en ocho décadas: unas votaciones realmente libres y en democracia.",25 de marzo de 2026,25 de marzo de 2026,La Razón,ART-10,"https://fotografias-2.larazon.es/clipping/cmsimages01/2026/03/22/6E264331-9FA1-4E89-A0E6-1CF3D480AEAA/97.jpg?crop=6060,3409,x0,y316&width=1600&height=900&optimize=low&format=webply","En unos meses, los cubanos podrían estar sufragando para elegir a un gobierno democrático, un evento que no han conocido en ocho décadas: unas votaciones realmente libres y en democracia.",A las puertas de una nueva era en Cuba,Yes,,,,,https://www.larazon.es/internacional/puertas-nueva-era-cuba_2026032569c36bf173941a3222cbbe93.html
La promesa de un nuevo Chile,Alejandro G. Motta,https://www.larazon.es/internacional/promesa-nuevo-chile_2026031969bb30d5219e1f762b6a96da.html,Política,No,"El presidente saliente, Gabriel Boric, deja el poder con una economía cuasi estancada que no llegó a crecer anualmente ni el 2%, una inversión débil y un desempleo alrededor de 8%",19 de marzo de 2026,19 de marzo de 2026,La Razón,ART-11,"https://fotografias-2.larazon.es/clipping/cmsimages01/2025/12/15/DE34F062-D625-499B-BDD7-A243BC52D88E/97.jpg?crop=7008,3942,x0,y365&width=1600&height=900&optimize=low&format=webply","El presidente saliente, Gabriel Boric, deja el poder con una economía cuasi estancada que no llegó a crecer anualmente ni el 2%, una inversión débil y un desempleo alrededor de 8%",La promesa de un nuevo Chile,Yes,,,,,https://www.larazon.es/internacional/promesa-nuevo-chile_2026031969bb30d5219e1f762b6a96da.html
La indecisión electoral gana en el Perú,Alejandro G. Motta,https://www.larazon.es/internacional/indecision-electoral-gana-peru_2026033069c9bd0dbfc2456bae1847a8.html,Política,No,Los peruanos acudirán a las urnas para elegir a un nuevo presidente el 12 de abril en un momento de inestabilidad crítica tras haber tenido 10 presidentes en 10 años,30 de marzo de 2026,30 de marzo de 2026,La Razón,ART-12,https://www.izquierdadiario.es/local/cache-vignettes/L711xH400/27f960da2643d1cffd632c7e1f2e69-83a23.jpg?1779690674,Los peruanos acudirán a las urnas para elegir a un nuevo presidente el 12 de abril en un momento de inestabilidad crítica tras haber tenido 10 presidentes en 10 años,La indecisión electoral gana en el Perú,Yes,,,,,https://www.larazon.es/internacional/indecision-electoral-gana-peru_2026033069c9bd0dbfc2456bae1847a8.html
Trump y Petro. ¿Quién gana qué?,Alejandro G. Motta,https://www.larazon.es/internacional/america/trump-petro-quien-gana-que_2026020769869cad2f00a04688fc4a94.html,Internacional,No,"Mientras que Colombia es una pieza clave para la estrategia de Trump en Venezuela, Petro necesita un pacto que permita la protección institucional y política",7 de febrero de 2026,7 de febrero de 2026,La Razón,ART-13,"https://fotografias-2.larazon.es/clipping/cmsimages02/2026/02/04/33D46B07-1A74-4E9D-80F2-56F0491B40F6/97.jpg?crop=1920,1080,x0,y100&width=1600&height=900&optimize=low&format=webply","Mientras que Colombia es una pieza clave para la estrategia de Trump en Venezuela, Petro necesita un pacto que permita la protección institucional y política",Trump y Petro. ¿Quién gana qué?,Yes,,,,,https://www.larazon.es/internacional/america/trump-petro-quien-gana-que_2026020769869cad2f00a04688fc4a94.html
5 interrogantes sobre la captura de Maduro por Estados Unidos,Alejandro G. Motta,https://www.aceprensa.com/latinoamerica/5-interrogantes-sobre-la-captura-de-maduro-por-estados-unidos/,Política,No,"La captura de Nicolás Maduro y su esposa, Cilia Flores, realizada por fuerzas estadounidenses el 3 de enero, deja abiertos varios interrogantes. Hemos pedido a algunos expertos una primera valoración de los hechos y un pronóstico del futuro inmediato.",4 de enero de 2026,4 de enero de 2026,ACE Prensa,ART-14,https://www.aceprensa.com/wp-content/uploads/2026/01/shutterstock_2672442011.jpg,"La captura de Nicolás Maduro y su esposa, Cilia Flores, realizada por fuerzas estadounidenses el 3 de enero, deja abiertos varios interrogantes. Hemos pedido a algunos expertos una primera valoración de los hechos y un pronóstico del futuro inmediato.",5 interrogantes sobre la captura de Maduro por Estados Unidos,Yes,,,,,https://www.aceprensa.com/latinoamerica/5-interrogantes-sobre-la-captura-de-maduro-por-estados-unidos/
Venezuela y sus rincones del miedo,Alejandro G. Motta,https://www.aceprensa.com/latinoamerica/venezuela-y-sus-rincones-del-miedo/,Política,No,"En cada espacio público en Venezuela, el miedo resulta un cuerpo inmaterial que se cuela por cualquier rincón. Nadie está exento a convivir y lidiar con ese fantasma. Tanto María Corina Machado y quienes trabajan para ella, como los ciudadanos de a pie –e incluso Maduro y sus acólitos– deben lidiar, de una u otra manera, con esa sombra incómoda: hija del oprobio y compañera de la corrupción.",22 de octubre de 2025,22 de octubre de 2025,ACE Prensa,ART-15,https://www.aceprensa.com/wp-content/uploads/2025/10/EuropaPress_7017652_lider_opositora_venezolana_maria_corina_machado_interviene_plena_calle-1024x683.jpg,"En cada espacio público en Venezuela, el miedo resulta un cuerpo inmaterial que se cuela por cualquier rincón. Nadie está exento a convivir y lidiar con ese fantasma. Tanto María Corina Machado y quienes trabajan para ella, como los ciudadanos de a pie –e incluso Maduro y sus acólitos– deben lidiar, de una u otra manera, con esa sombra incómoda: hija del oprobio y compañera de la corrupción.",Venezuela y sus rincones del miedo,Yes,,,,,https://www.aceprensa.com/latinoamerica/venezuela-y-sus-rincones-del-miedo/
"Venezuela, entre la civilización y la barbarie",Alejandro G. Motta,https://www.aceprensa.com/latinoamerica/venezuela-entre-la-civilizacion-y-la-barbarie/,Política,No,"Doña Bárbara, escrita por el autor venezolano Rómulo Gallegos y publicada en 1929, es una de las novelas más emblemáticas de la literatura hispanoamericana. El texto explora el enfrentamiento entre dos grandes fuerzas: la civilización y la barbarie. Doña Bárbara (la barbarie) representa las fuerzas primitivas, la violencia, y el dominio de la naturaleza sin control. Es un personaje que utiliza la astucia, la superstición y el miedo para mantener el poder sobre su hacienda, “El Miedo”.",13 de enero de 2025,13 de enero de 2025,ACE Prensa,ART-16,https://www.aceprensa.com/wp-content/uploads/2025/01/EuropaPress_6442725_lider_opositora_venezolana_maria_corina_machado_interviene_plena_calle-1024x683.jpg,"Doña Bárbara, escrita por el autor venezolano Rómulo Gallegos y publicada en 1929, es una de las novelas más emblemáticas de la literatura hispanoamericana. El texto explora el enfrentamiento entre dos grandes fuerzas: la civilización y la barbarie. Doña Bárbara (la barbarie) representa las fuerzas primitivas, la violencia, y el dominio de la naturaleza sin control. Es un personaje que utiliza la astucia, la superstición y el miedo para mantener el poder sobre su hacienda, “El Miedo”.","Venezuela, entre la civilización y la barbarie",No,,,,,https://www.aceprensa.com/latinoamerica/venezuela-entre-la-civilizacion-y-la-barbarie/
Incertidumbre: la gran protagonista de la crisis política en Venezuela,Alejandro G. Motta,https://www.aceprensa.com/latinoamerica/incertidumbre-la-gran-protagonista-de-la-crisis-politica-en-venezuela/,Política,No,"Probablemente ni siquiera Maduro tenga mucha claridad sobre su porvenir. El 10 de enero, el presidente de Venezuela, sea quien sea, deberá juramentarse ante el Congreso. Estrictamente hablando, Maduro debe seguir en el poder hasta esa fecha. Mientras tanto, el tiempo podría consolidar al chavismo en el poder, pero también ofrece la oportunidad para que un dique a lo interno del régimen termine por producir su ruptura definitiva, y el cese del gobierno cleptocrático que gobierna en Caracas.",12 de septiembre de 2024,12 de septiembre de 2024,ACE Prensa,ART-17,https://www.aceprensa.com/wp-content/uploads/2024/09/EuropaPress_6122752_july_30_2024_caracas_miranda_venezuela_second_day_of_protest_in_venezuela-1024x683.jpg,"Probablemente ni siquiera Maduro tenga mucha claridad sobre su porvenir. El 10 de enero, el presidente de Venezuela, sea quien sea, deberá juramentarse ante el Congreso. Estrictamente hablando, Maduro debe seguir en el poder hasta esa fecha. Mientras tanto, el tiempo podría consolidar al chavismo en el poder, pero también ofrece la oportunidad para que un dique a lo interno del régimen termine por producir su ruptura definitiva, y el cese del gobierno cleptocrático que gobierna en Caracas.",Incertidumbre: la gran protagonista de la crisis política en Venezuela,No,,,,,https://www.aceprensa.com/latinoamerica/incertidumbre-la-gran-protagonista-de-la-crisis-politica-en-venezuela/
Maduro se queda en el poder “por las malas”,Alejandro G. Motta,https://www.aceprensa.com/latinoamerica/maduro-se-queda-en-el-poder-por-las-malas/,Política,No,"El Consejo Nacional Electoral (CNE), controlado por el gobierno, declaró a Nicolás Maduro como ganador con un 51,2% de los votos frente al 44,2% de Edmundo González Urrutia, datos que María Corina Machado y otros líderes opositores consideran improbables y manipulados.",29 de julio de 2024,29 de julio de 2024,ACE Prensa,ART-18,https://www.aceprensa.com/wp-content/uploads/2024/07/EuropaPress_6118167_handout_29_july_2024_venezuela_caracas_nicolas_maduro_center_venezuelas-1024x683.jpg,"El Consejo Nacional Electoral (CNE), controlado por el gobierno, declaró a Nicolás Maduro como ganador con un 51,2% de los votos frente al 44,2% de Edmundo González Urrutia, datos que María Corina Machado y otros líderes opositores consideran improbables y manipulados.",Maduro se queda en el poder “por las malas”,No,,,,,https://www.aceprensa.com/latinoamerica/maduro-se-queda-en-el-poder-por-las-malas/